id,name,salary,manager,birthyear,startyear,Age When Started
10,"Ross, Stanley",15908,199,1927,1945,18
11,"Ross, Stuart",12067,,1931,1932,1
13,"Edwards, Peter",9000,199,1928,1958,30
26,"Thompson, Bob",13000,199,1930,1970,40
32,"Smythe, Carol",9050,199,1929,1967,38
33,"Hayes, Evelyn",10100,199,1931,1963,32
35,"Evans, Michael",5000,32,1952,1974,22
37,"Raveen, Lemont",11985,26,1950,1974,24
55,"James, Mary",12000,199,1920,1969,49
98,"Williams, Judy",9000,199,1935,1969,34
129,"Thomas, Tom",10000,199,1941,1962,21
157,"Jones, Tim",12000,199,1940,1960,20
199,"Bullock, J.D.",27000,,1920,1920,0
215,"Collins, Joanne",7000,10,1950,1971,21
430,"Brunet, Paul C.",17674,129,1938,1959,21
843,"Schmidt, Herman",11204,26,1936,1956,20
994,"Iwano, Masahiro",15641,129,1944,1970,26
1110,"Smith, Paul",6000,33,1952,1973,21
1330,"Onstad, Richard",8779,13,1952,1971,19
1523,"Zugnoni, Arthur A.",19868,129,1928,1949,21
1639,"Choy, Wanda",11160,55,1947,1970,23
2398,"Wallace, Maggie J.",7880,26,1940,1959,19
4901,"Bailey, Chas M.",8377,32,1956,1975,19
5119,"Bono, Sonny",13621,55,1939,1963,24
5219,"Schwarz, Jason B.",13374,33,1944,1959,15
